iter	Logloss
190	0.4097071126
191	0.4096252441
192	0.4095603434
193	0.4094874471
194	0.4094015299
195	0.4093390096
196	0.4091872559
197	0.4091190186
198	0.4089856364
199	0.4088647461
200	0.4087725016
201	0.4086680501
202	0.4086092733
203	0.4085224202
204	0.4084159749
205	0.4083270874
206	0.4082774455
207	0.408161438
208	0.4081008097
209	0.4080421143
210	0.4079356689
211	0.4078554688
212	0.4077688802
213	0.4076737264
214	0.4075172323
215	0.4074464925
216	0.4073354289
217	0.4072344157
218	0.407087443
219	0.4069933879
220	0.4069529012
221	0.4068734741
222	0.4067897746
223	0.406726827
224	0.4066443685
225	0.4065290324
226	0.4064517415
227	0.4063712362
228	0.4062729289
229	0.4061676839
230	0.4060327555
231	0.4059422404
232	0.4058273519
233	0.4057040812
234	0.4055997518
235	0.4055079753
236	0.4054469808
237	0.4053804118
238	0.4053136597
239	0.4052350464
240	0.405139445
241	0.4050718791
242	0.404932251
243	0.404853658
244	0.4047005005
245	0.4046436361
246	0.4045915934
247	0.4044798177
248	0.4044241943
249	0.4043530884
250	0.4042592773
251	0.4041789144
252	0.4040794271
253	0.4039764404
254	0.4038927816
255	0.4037406209
256	0.4036271973
257	0.4035384521
258	0.4034142049
259	0.4032583008
260	0.4031846924
261	0.4030812378
262	0.4029695231
263	0.4028956706
264	0.4028137614
265	0.4026453451
266	0.4025794881
267	0.4024637044
268	0.4024099121
269	0.4023047485
270	0.4022277425
271	0.4021299032
272	0.4020502116
273	0.4019718424
274	0.4018905029
275	0.4018194377
276	0.4016772054
277	0.4016221924
278	0.4015349121
279	0.4014585775
280	0.4013360189
281	0.4012200521
282	0.4010748494
283	0.4009830322
284	0.4008838908
285	0.4007471924
286	0.4006325073
287	0.400536377
288	0.4004676921
289	0.4004094035
290	0.400365804
291	0.4003057048
292	0.4002040609
293	0.4000872192
294	0.4000399577
295	0.3999679159
296	0.3998903809
297	0.3998075968
298	0.3997404785
299	0.3996398722
300	0.3995794067
301	0.399450765
302	0.3994004924
303	0.3992694499
304	0.3991507365
305	0.3990670369
306	0.3989921265
307	0.3989210205
308	0.3988139648
309	0.3987593587
310	0.398677002
311	0.3985381063
312	0.3984292806
313	0.3983057454
314	0.3982288411
315	0.3981557007
316	0.3980906576
317	0.3979894409
318	0.3979172974
319	0.3978363851
320	0.3977458089
321	0.3976731771
322	0.3975546061
323	0.3974297689
324	0.3973405558
325	0.3972315267
326	0.397116333
327	0.397071167
328	0.3969787598
329	0.3968430583
330	0.3967827759
331	0.3966585083
332	0.3965701497
333	0.3964625448
334	0.3963428752
335	0.3962587687
336	0.3961969808
337	0.3961926066
338	0.3961337891
339	0.3960414225
340	0.3959510498
341	0.3958416138
342	0.3957787272
343	0.3956896973
344	0.3955711466
345	0.395442098
346	0.3953681437
347	0.3952647705
348	0.3951056315
349	0.3950342407
350	0.3949069824
351	0.3948533122
352	0.3947663371
353	0.3947014364
354	0.3945881551
355	0.3945042318
356	0.394415507
357	0.3943509928
358	0.394291097
359	0.3942541911
360	0.3941739095
361	0.3940709025
362	0.3939750977
363	0.3938764038
364	0.393783488
365	0.3937447306
366	0.3936250407
367	0.3935394694
368	0.3934401855
369	0.393372762
370	0.3932439575
371	0.3931601766
372	0.3930849813
373	0.3929529826
374	0.3928649089
375	0.3927626343
376	0.392666158
377	0.3925349325
378	0.3924390666
379	0.3923088379
380	0.3922064006
381	0.392112854
382	0.3919609172
383	0.3918835246
384	0.3917887166
385	0.3916829834
386	0.391681722
387	0.3915858561
388	0.3914998169
389	0.3914266561
390	0.3913621216
391	0.3912680054
392	0.3912172241
393	0.3910865682
394	0.3910009359
395	0.3908301188
396	0.3907727051
397	0.3907238159
398	0.3906241048
399	0.3905560303
400	0.390420166
401	0.3903923543
402	0.3902573649
403	0.3901468709
404	0.3900325521
405	0.3899296468
406	0.3897866821
407	0.3897178955
408	0.3896694946
409	0.38959198
410	0.3894934082
411	0.389427592
412	0.3893070272
413	0.3892241414
414	0.3890881958
415	0.3890282186
416	0.3889493205
417	0.3888601888
418	0.3888143717
419	0.38875413
420	0.3886538086
421	0.3886025798
422	0.3885046387
423	0.3884122111
424	0.3882587891
425	0.3881688436
426	0.3880821533
427	0.3879933675
428	0.3878881429
429	0.3877739665
430	0.3876657918
431	0.3875322469
432	0.3874619141
433	0.38734611
434	0.3872570394
435	0.3871677043
436	0.3871074015
437	0.3870027059
438	0.3868814697
439	0.3867894287
440	0.3867178345
441	0.3866620483
442	0.3865705566
443	0.3864510498
444	0.3863615519
445	0.386256429
446	0.3861644287
447	0.3860488688
448	0.3859911702
449	0.385868693
450	0.3857889201
451	0.3856656494
452	0.3855665487
453	0.3855118205
454	0.3854660848
455	0.3853794759
456	0.3852651571
457	0.3851764119
458	0.3850766195
459	0.3849717611
460	0.3848557536
461	0.3847414551
462	0.3846491089
463	0.3845792847
464	0.3844739583
465	0.3844464925
466	0.3843605347
467	0.3843059896
468	0.3842477417
469	0.3841404826
470	0.3840773722
471	0.3840016683
472	0.3839566243
473	0.3838654378
474	0.3837907308
475	0.3837896525
476	0.3837167358
477	0.3836436768
478	0.3835722656
479	0.3835711873
480	0.3835014445
481	0.3834504191
482	0.3833278809
483	0.3832113444
484	0.3831102498
485	0.3829881592
486	0.3828985799
487	0.3827387288
488	0.3826653646
489	0.3825436198
490	0.382476888
491	0.3823966268
492	0.3823287964
493	0.3822682292
494	0.3821688843
495	0.3821332397
496	0.3821214396
497	0.3820573934
498	0.3819626872
499	0.3818531291
500	0.3817533569
501	0.381702474
502	0.3816059774
503	0.3815228271
504	0.3814410807
505	0.3814118449
506	0.3813120321
507	0.381308431
508	0.381175293
509	0.3810742594
510	0.3809749146
511	0.3808796794
512	0.3807759399
513	0.3806996053
514	0.3806234334
515	0.3805393473
516	0.380425883
517	0.3803719076
518	0.3802940267
519	0.3802400513
520	0.3801774902
521	0.3800707194
522	0.379967631
523	0.3799393717
524	0.3797939453
525	0.3797039795
526	0.379582133
527	0.3794833984
528	0.3793956095
529	0.3792932536
530	0.3792257284
531	0.3791399536
532	0.3790325521
533	0.3789565226
534	0.3788838094
535	0.3788270874
536	0.3787706502
537	0.3787260335
538	0.3786359253
539	0.3785849202
540	0.3785413615
541	0.3784586995
542	0.3783947754
543	0.3783032227
544	0.3782072957
545	0.3781991374
546	0.3781190592
547	0.378007548
548	0.3779076538
549	0.3778304036
550	0.3777739868
551	0.3776897786
552	0.3776240438
553	0.377526591
554	0.3774585368
555	0.3774275309
556	0.3773503011
557	0.3772585653
558	0.3771976522
559	0.3771492106
560	0.3770518799
561	0.3769437866
562	0.3768213501
563	0.3767555339
564	0.3766635539
565	0.3766102702
566	0.3765264079
567	0.3764539591
568	0.3763675944
569	0.376287679
570	0.3762212524
571	0.376132548
572	0.3760184937
573	0.3758976237
574	0.3757877401
575	0.3756994222
576	0.3755673421
577	0.3754310099
578	0.3753803914
579	0.3753184001
580	0.3752411499
581	0.3751868286
582	0.3750509847
583	0.3749722493
584	0.3749200846
585	0.3749095866
586	0.3748504842
587	0.3748137614
588	0.3747315877
589	0.374645874
590	0.3745772298
591	0.3745026652
592	0.3743583984
593	0.3743037923
594	0.3742082113
595	0.3741381836
596	0.3740750936
597	0.3739848633
598	0.3738670451
599	0.3737418213
600	0.3736625366
601	0.3735923258
602	0.3735112508
603	0.3734341634
604	0.3733029785
605	0.3731878866
606	0.3731465454
607	0.3730558065
608	0.3729636637
609	0.3728670654
610	0.3727913005
611	0.3727164307
612	0.3726346029
613	0.3725568441
614	0.3724589437
615	0.3723710124
616	0.3722762248
617	0.3721958618
618	0.3720889079
619	0.3719789022
620	0.3719002686
621	0.3718030599
622	0.3717251994
623	0.3716162516
624	0.3715314941
625	0.3714650879
626	0.3713856405
627	0.3712548828
628	0.3711823934
629	0.3710987345
630	0.3710456136
631	0.3709486084
632	0.3708948161
633	0.3708302816
634	0.3707481689
635	0.3706681112
636	0.3705881348
637	0.3705123291
638	0.370450297
639	0.3703656006
640	0.3703312174
641	0.3702641602
642	0.3702157796
643	0.3701588949
644	0.3700634562
645	0.3699650675
646	0.3698952637
647	0.3698173218
648	0.3697433472
649	0.3696709391
650	0.3695912272
651	0.3695194092
652	0.3694632568
653	0.3693986206
654	0.3693203939
655	0.3692055664
656	0.3690804036
657	0.3690165202
658	0.3689698283
659	0.3689302165
660	0.368830424
661	0.368770284
662	0.3687695313
663	0.3687664795
664	0.3686726888
665	0.3685610758
666	0.368471578
667	0.3684144084
668	0.368369751
669	0.3682648519
670	0.3681622925
671	0.3680588582
672	0.3679772542
673	0.3679390869
674	0.3678097738
675	0.3677144775
676	0.3676669515
677	0.3676185099
678	0.3675134277
679	0.3674344686
680	0.367421875
681	0.3673282064
682	0.3672707926
683	0.3671935628
684	0.3671265869
685	0.3670802409
686	0.3669783122
687	0.3669170939
688	0.3668081055
689	0.366760376
690	0.3666993815
691	0.3666549886
692	0.3665524699
693	0.3665100301
694	0.3664049886
695	0.3663680216
696	0.366329244
697	0.3662883911
698	0.3662546387
699	0.3661952718
700	0.3661213582
701	0.3660391032
702	0.3659888713
703	0.3658962809
704	0.3658300374
705	0.3656837362
706	0.3656134033
707	0.3655594686
708	0.3654578247
709	0.3653838298
710	0.3652730916
711	0.365206665
712	0.3651609904
713	0.3650593872
714	0.3650032756
715	0.3648852743
716	0.3648017171
717	0.3647677816
718	0.3647652384
719	0.364702535
720	0.3646085205
721	0.3645460409
722	0.3644772542
723	0.3644215902
724	0.364325765
725	0.3642709554
726	0.3641960653
727	0.3641606649
728	0.3640781047
729	0.3640447184
730	0.3639738159
731	0.3639732463
732	0.3638959961
733	0.3638364461
734	0.3637399902
735	0.3636929321
736	0.3636320801
737	0.3635607707
738	0.3635195313
739	0.3634240926
740	0.3633875529
741	0.3633277588
742	0.3632338257
743	0.363137797
744	0.3630773315
745	0.3630576579
746	0.3629715983
747	0.3628950195
748	0.3628111776
749	0.3627788493
750	0.3627603353
751	0.3626899821
752	0.362646342
753	0.3625921021
754	0.36250118
755	0.36246462
756	0.362413737
757	0.3623416138
758	0.3622964071
759	0.3622410482
760	0.3621256104
761	0.362036377
762	0.3620221354
763	0.3619465129
764	0.3619017334
765	0.3618346558
766	0.3617863159
767	0.3616808268
768	0.3616131185
769	0.3615381877
770	0.3614767863
771	0.3614191488
772	0.3613594767
773	0.3612825928
774	0.361193807
775	0.3610993042
776	0.3610655518
777	0.3609558512
778	0.3608995565
779	0.3608317668
780	0.3608126424
781	0.3607421061
782	0.3606445719
783	0.3605543009
784	0.3604902547
785	0.360429362
786	0.360365092
787	0.3602938029
788	0.3602406616
789	0.3601593018
790	0.3600787557
791	0.3600064494
792	0.3599782918
793	0.3598649495
794	0.3597767334
795	0.3596860962
796	0.3596160685
797	0.3595370483
798	0.3595014852
799	0.3594461263
800	0.3593722941
801	0.3593296102
802	0.35928007
803	0.3591859334
804	0.3591087646
805	0.3590547282
806	0.3589571126
807	0.3588983968
808	0.3588492228
809	0.3587306112
810	0.3586096598
811	0.3585434977
812	0.3584742839
813	0.3584090983
814	0.3583609416
815	0.3582945557
816	0.3582354736
817	0.3581681722
818	0.358093221
819	0.3580406901
820	0.3579846598
821	0.3578769531
822	0.3578546346
823	0.3577992554
824	0.3577067871
825	0.3576369019
826	0.3575789795
827	0.357521932
828	0.3574362996
829	0.3573393758
830	0.3571981608
831	0.3571156616
832	0.3570567424
833	0.356974528
834	0.3569117432
835	0.3568109334
836	0.3567483114
837	0.356677653
838	0.3565881958
839	0.3565118815
840	0.3564576619
841	0.3563784587
842	0.3563532511
843	0.3562801107
844	0.3562025146
845	0.3561766764
846	0.3560873006
847	0.3560210368
848	0.3559496257
849	0.3558826701
850	0.355770874
851	0.35574764
852	0.3556517537
853	0.3555626628
854	0.355461202
855	0.3553819784
856	0.3553009237
857	0.3552040202
858	0.3551221924
859	0.3550536296
860	0.3549837443
861	0.3549197591
862	0.3548177897
863	0.3547532552
864	0.3546947225
865	0.3546171875
866	0.3545591227
867	0.3545019328
868	0.3544386393
869	0.3543739421
870	0.3542916667
871	0.3541994019
872	0.3541265462
873	0.3540564372
874	0.3539955241
875	0.3539335937
876	0.3538627726
877	0.3538038127
878	0.3537110596
879	0.353654541
880	0.3535711263
881	0.3535356649
882	0.3534639689
883	0.3533293457
884	0.3532320964
885	0.3531710002
886	0.3531195272
887	0.3530365804
888	0.3529666138
889	0.3529208374
890	0.3528729451
891	0.3527798258
892	0.3527391561
893	0.352656311
894	0.3525615031
895	0.3524861857
896	0.3524171346
897	0.3523433431
898	0.3522684123
899	0.3522014567
900	0.3521437988
901	0.352082255
902	0.3519801839
903	0.3519245605
904	0.3518607178
905	0.3518337402
906	0.3517345378
907	0.3516695964
908	0.3515611369
909	0.3514970093
910	0.3514270833
911	0.3513739624
912	0.3513108317
913	0.3512115072
914	0.3511030273
915	0.3509948527
916	0.3509272054
917	0.3508833008
918	0.3508397624
919	0.3507515055
920	0.3506718343
921	0.3506123454
922	0.3505516561
923	0.3504726766
924	0.3504381104
925	0.3503584798
926	0.3502525431
927	0.3501365967
928	0.3500917765
929	0.3499924927
930	0.3499478353
931	0.3498684896
932	0.3497732951
933	0.3496821493
934	0.3496648763
935	0.3496013184
936	0.3495086466
937	0.3494232381
938	0.3493620809
939	0.349259847
940	0.3492075806
941	0.3491244914
942	0.3490668538
943	0.3489991455
944	0.3489311727
945	0.3488318888
946	0.3487371216
947	0.3486545207
948	0.3485650431
949	0.3484973551
950	0.3484556885
951	0.3483768921
952	0.3483548584
953	0.348276652
954	0.3481799113
955	0.3481502482
956	0.3480772298
957	0.3480334473
958	0.3479727783
959	0.3478573405
960	0.3477866414
961	0.347757548
962	0.347730835
963	0.3476612142
964	0.3476180623
965	0.3475649211
966	0.347531189
967	0.347476827
968	0.3473808797
969	0.3472977091
970	0.347228658
971	0.347155009
972	0.3470909424
973	0.3470722249
974	0.3469908447
975	0.3469191691
976	0.3468828939
977	0.3468075358
978	0.3467537028
979	0.346675354
980	0.34662205
981	0.346570638
982	0.3464708862
983	0.346390035
984	0.3463340047
985	0.3462538147
986	0.3462340088
987	0.3461443176
988	0.3460670166
989	0.3459799906
990	0.3459194132
991	0.3458431396
992	0.3457792664
993	0.3457111308
994	0.3456722819
995	0.3456195984
996	0.3456000977
997	0.3455723063
998	0.3455256856
999	0.3454408773
