iter	Passed	Remaining
960	25803	1047
961	25824	1020
962	25851	993
963	25873	966
964	25897	939
965	25919	912
966	25945	885
967	25969	858
968	25994	831
969	26018	804
970	26044	777
971	26071	751
972	26098	724
973	26119	697
974	26144	670
975	26170	643
976	26195	616
977	26217	589
978	26243	562
979	26267	536
980	26292	509
981	26313	482
982	26339	455
983	26361	428
984	26388	401
985	26410	374
986	26434	348
987	26457	321
988	26480	294
989	26506	267
990	26539	241
991	26563	214
992	26587	187
993	26609	160
994	26634	133
995	26656	107
996	26677	80
997	26701	53
998	26724	26
999	26750	0
